year,defunciones_calor,tasa_por_millon,nivel_num,alerta_color
2015,86,131.1599419235978,0.2913183663721041,normal
2016,73,106.45030520614904,0.47238415545590434,normal
2017,72,102.41136083362848,0.33494406818354766,normal
2018,83,114.8612462306829,0.4858316363510855,normal
2019,89,119.01832614765762,0.6343215568541254,normal
2020,149,137.1069332859747,0.5899445788297254,critico
2021,118,105.1460059220369,0.9406795025200334,normal
2022,105,123.86223688121966,0.5590900906308145,normal
2023,463,578.8447858336802,1.1409362549800797,critico
