variable,trend,slope,p,tau,z
sst,no trend,0.017476545738020377,1.0,0.06666666666666667,0.0
NDVI,no trend,-0.0035911112608145723,0.2596563563704499,-0.4666666666666667,-1.1272037239532693
EVI,no trend,-0.00197730724169079,0.2596563563704499,-0.4666666666666667,-1.1272037239532693
LST_day,no trend,-0.16531951454070395,0.4523703606773608,-0.3333333333333333,-0.7514691493021795
ET,no trend,-9.366640726669136,0.7340951823194757,-0.3333333333333333,-0.3396831102433787
precipitation,no trend,2.9850386455187468,0.7071142312899612,0.2,0.3757345746510897
precip_anomaly,no trend,2.9850386455187476,0.7071142312899612,0.2,0.3757345746510897
precip_extreme_days,no trend,0.04612229059260494,1.0,0.06666666666666667,0.0
t2m_anomaly,no trend,0.09765047093023682,0.4523703606773608,0.3333333333333333,0.7514691493021795
NO2,no trend,2.0248627228646944e-07,0.060289173990602185,0.7333333333333333,1.8786728732554487
CO,no trend,-3.495660968767626e-05,1.0,-0.06666666666666667,0.0
SO2,no trend,3.6084605035019367e-06,0.2596563563704499,0.4666666666666667,1.1272037239532693
loss_anual,no trend,-0.0014630491876492764,0.80649594050734,-0.2,-0.2449489742783178
fire_count,no trend,0.0005770363817025892,1.0,0.06666666666666667,0.0
